"Story","Title","Result","Date","Stability","Duration (s)"
"as a quality analyst","log in to the page","SUCCESS","2022-12-12T17:54:47.409-05:00[America/Bogota]","0.0","11.56"
"as a quality analyst","make a buy of airlinetickets","PENDING","2022-11-23T08:31:26.727-05:00[America/Bogota]","0.0","0.2"
